row,col,code,name
7,6,001,Adams
5,1,003,Allegheny
4,3,005,Armstrong
4,1,007,Beaver
6,3,009,Bedford
5,8,011,Berks
5,4,013,Blair
1,7,015,Bradford
5,10,017,Bucks
4,2,019,Butler
5,3,021,Cambria
2,5,023,Cameron
4,8,025,Carbon
4,4,027,Centre
7,8,029,Chester
3,2,031,Clarion
3,4,033,Clearfield
3,5,035,Clinton
3,8,037,Columbia
1,2,039,Crawford
6,6,041,Cumberland
5,7,043,Dauphin
7,9,045,Delaware
2,4,047,Elk
1,1,049,Erie
7,2,051,Fayette
2,3,053,Forest
7,5,055,Franklin
7,4,057,Fulton
7,1,059,Greene
6,4,061,Huntingdon
5,2,063,Indiana
3,3,065,Jefferson
5,6,067,Juniata
2,9,069,Lackawanna
6,8,071,Lancaster
3,1,073,Lawrence
6,7,075,Lebanon
5,9,077,Lehigh
3,9,079,Luzerne
2,6,081,Lycoming
1,4,083,McKean
2,1,085,Mercer
5,5,087,Mifflin
3,10,089,Monroe
6,9,091,Montgomery
3,7,093,Montour
4,9,095,Northampton
4,6,097,Northumberland
6,5,099,Perry
6,10,101,Philadelphia
2,10,103,Pike
1,5,105,Potter
4,7,107,Schuylkill
4,5,109,Snyder
7,3,111,Somerset
2,7,113,Sullivan
1,8,115,Susquehanna
1,6,117,Tioga
3,6,119,Union
2,2,121,Venango
1,3,123,Warren
6,1,125,Washington
1,9,127,Wayne
6,2,129,Westmoreland
2,8,131,Wyoming
7,7,133,York
